name
Автомобиль		
Бытовые нужды		
Вредные привычки		
Гигиена и здоровье		
Дети		
Квартплата		
Кредит/долги		
Одежда и косметика		
"Поездки (транспорт, такси)"
Продукты питания		
Развлечения и подарки		
"Связь (телефон, интернет)"
